Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
70.700000,38.100000,2022-02,trawlers,2,1.05
70.700000,39.300000,2022-02,trawlers,1,0.74
71.600000,41.300000,2022-02,trawlers,1,3.05
71.600000,41.800000,2022-02,trawlers,2,9.55
71.500000,41.700000,2022-02,trawlers,3,15.18
71.600000,42.100000,2022-02,trawlers,5,30.65
71.500000,41.900000,2022-02,trawlers,6,13.99
71.500000,42.200000,2022-02,trawlers,3,25.87
71.600000,42.500000,2022-02,trawlers,4,22.45
71.600000,42.400000,2022-02,trawlers,6,32.63
71.500000,42.300000,2022-02,trawlers,3,20.85
71.600000,42.600000,2022-02,trawlers,4,19.54
71.500000,42.600000,2022-02,trawlers,5,21.75
71.600000,43.000000,2022-02,trawlers,2,6.00
71.600000,43.200000,2022-02,trawlers,2,1.64
71.600000,43.500000,2022-02,trawlers,1,2.81
71.500000,43.800000,2022-02,trawlers,3,1.99
71.500000,44.600000,2022-02,set_longlines,1,7.50
71.400000,40.500000,2022-02,trawlers,3,4.77
71.200000,40.500000,2022-02,trawlers,2,41.05
71.100000,40.500000,2022-02,trawlers,5,8.13
71.100000,40.700000,2022-02,set_longlines,1,13.25
71.500000,41.500000,2022-02,trawlers,2,1.45
71.500000,41.800000,2022-02,set_longlines,1,1.00
71.400000,41.600000,2022-02,set_longlines,2,1.08
71.500000,42.100000,2022-02,fishing,1,2.66
71.400000,42.100000,2022-02,fishing,2,4.86
71.300000,41.500000,2022-02,set_longlines,2,10.98
71.300000,41.700000,2022-02,set_longlines,2,18.13
71.400000,41.800000,2022-02,fishing,2,1.70
71.400000,42.000000,2022-02,fishing,1,3.04
71.400000,42.100000,2022-02,set_longlines,1,2.40
71.300000,41.900000,2022-02,set_longlines,2,4.68
71.300000,42.200000,2022-02,set_longlines,2,3.68
71.200000,41.100000,2022-02,set_longlines,1,3.71
71.200000,41.000000,2022-02,set_longlines,1,9.59
71.200000,40.900000,2022-02,set_longlines,1,1.98
71.100000,40.900000,2022-02,set_longlines,1,5.49
71.200000,41.700000,2022-02,set_longlines,2,2.05
71.000000,40.000000,2022-02,trawlers,2,5.49
71.000000,40.100000,2022-02,trawlers,3,6.51
70.900000,39.600000,2022-02,trawlers,1,4.04
70.900000,39.900000,2022-02,trawlers,2,7.12
70.900000,39.800000,2022-02,trawlers,2,8.45
71.000000,40.300000,2022-02,trawlers,4,9.76
71.000000,40.700000,2022-02,trawlers,2,1.41
